trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153842912218189336,IND523105AAA,IND524201AAA,FTL,54.0,51.0,62.91,55.9,23.35321762982537,9.610464962895117,True
trip-153850044599697017,IND523105AAA,IND524201AAA,FTL,54.0,47.0,59.23,51.47,26.01212034834192,9.521154454579015,True
trip-153858359451416248,IND523105AAA,IND524201AAA,FTL,54.0,50.0,60.72,53.43,21.43035888671875,6.8656512210942395,True
trip-153850039524199741,IND523201AAA,IND523002AAA,FTL,29.0,150.0,159.43,208.39,6.283487955729167,38.92813906742547,False
trip-153806294729162655,IND523226AAA,IND523316AAB,FTL,57.0,101.0,94.38,102.56,6.550802098642482,1.5475603789625152,True
trip-153814724311950281,IND523226AAA,IND523316AAB,FTL,57.0,100.0,93.81,102.72,6.1857757568359375,2.719390927656022,True
trip-153823878799649049,IND523226AAA,IND523316AAB,FTL,58.0,101.0,105.51,110.27,4.463951186378404,9.177022440546354,False
trip-153834559686295163,IND523226AAA,IND523316AAB,FTL,57.0,95.0,91.65,100.92,3.5298638594777962,6.226876998876387,False
trip-153842870599280405,IND523226AAA,IND523316AAB,FTL,57.0,112.0,113.4,115.54,1.2477125440325056,3.1586342627283646,False
trip-153850039524199741,IND523226AAA,IND523316AAB,FTL,58.0,111.0,117.38,115.86,5.748803765924127,4.3758237953632,True
trip-153858336498101365,IND523226AAA,IND523316AAB,FTL,59.0,117.0,122.35,119.01,4.574995774489183,1.7206928973145046,True
trip-153806309018898401,IND523230AAA,IND523105AAA,FTL,41.0,53.0,55.33,51.94,4.4052627851378245,1.9936888308877034,True
trip-153814738977136010,IND523230AAA,IND523105AAA,FTL,41.0,53.0,55.7,52.9,5.090951019862913,0.19080887062706475,True
trip-153823885904024188,IND523230AAA,IND523105AAA,FTL,42.0,53.0,59.7,54.63,12.645433533866452,3.0847841876387565,True
trip-153834590219303895,IND523230AAA,IND523105AAA,FTL,42.0,62.0,66.33,61.24,6.99188478531376,1.221812570766052,True
trip-153842912218189336,IND523230AAA,IND523105AAA,FTL,42.0,54.0,56.65,53.01,4.902352227105035,1.8270574546250447,True
trip-153850044599697017,IND523230AAA,IND523105AAA,FTL,42.0,50.0,55.58,52.11,11.168190002441406,4.228420123683634,True
